                                  tags                                  english                                  twitter
0                             #mixitup                                  mixitup                                mix it up
1                 #traderlivetweet2015                    trader live tweet2015                   trader live tweet 2015
2                                #dsma                                     dsma                                    ds ma
3                           #catfished                               catfish ed                                catfished
4                             #kpopers                                 kpop ers                                  kpopers
5                             #vmabert                                 vma bert                                vma be rt
6                            #weeeeeee                                we eeeeee                                 weeeeeee
7                              #smwldn                                  smw ldn                                  sm wldn
8                   #drinkalittledrink                      drinka little drink                      drink alittle drink
9                             #hibeees                                hi be ees                                 hibee es
10                         #soccernews                              soccer news                               soccernews
11                              #amavi                                   am avi                                    amavi
12                             #socinn                                  soc inn                                  so cinn
13                      #linearlagebra                          linear la gebra                          linear lage bra
14                             #iahsfb                                  iahs fb                                 ia hs fb
15                        #ullukapatha                            ul luka patha                           ullu ka pa tha
16                               #ootd                                    oo td                                     ootd
17                            #gooners                                go on ers                                  gooners
18                            #afcbcst                                afc bc st                                 afcb cst
19                             #pascon                                  pasc on                                  pas con
20                      #rockonrockall                          rock on rockall                         rock on rock all
21                    #may4thbewithyou                       may 4thbe with you                        may4thbe with you
22                    #tripofalifetime                       trip of alife time                        trip ofa lifetime
23                           #vscogrid                               vs co grid                                vsco grid
24                     #thewatercooler                         the water cooler                          the watercooler
25                    #wewillmakeadate                       we will makea date                       we will make adate
26                               #ccot                                    cc ot                                     ccot
27                        #sqlsaturday                             sql saturday                              sqlsaturday
28                               #bbuk                                    bb uk                                     bbuk
29                              #wawaw                                   wa waw                                    wawaw
30                          #btowneats                              bt own eats                               btown eats
31                             #suvelo                                  su velo                                  suv elo
32                         #ooohkillem                             oooh kill em                              oooh killem
33                        #ifollowback                           if ol low back                              ifollowback
34                              #tvtag                                   tv tag                                    tvtag
35                               #yall                                    ya ll                                     yall
36    #ijustnerdedsohardmyglassesbroke       ijustnerdedsohard my glasses broke    ijust nerded so hard my glasses broke
37                 #doingjusticeishine                     doing justice ishine                    doing justice is hine
38                              #iwish                                   iwi sh                                    iwish
39                       #scfafootball                            scfa football                           sc fa football
40                          #teuchters                              te uchte rs                                teuchters
41                              #donda                                   don da                                    donda
42                 #itsgonnabeagoodday                    its gonna bea goodday                   its gonna be agood day
43                         #applewatch                               applewatch                              apple watch
44           #bantemweightchampuonship            ban tem weight champu on ship            ban tem weight champ uon ship
45                               #itoa                                     itoa                                    it oa
46                             #buzzin                                  buzz in                                   buzzin
47                   #bringbacksungwoo                      bring back sung woo                       bring back sungwoo
48                            #jerzday                                 jerz day                                  jerzday
49                            #bluemix                                 blue mix                                  bluemix
50                        #strikeforce                              strikeforce                             strike force
51                               #oomf                                    oo mf                                     oomf
52                           #webradio                                web radio                                 webradio
53               #goggleeyedhomonculus                   goggle eyed homonculus                goggle eyed ho mon cul us
54                         #risolutore                              risoluto re                             riso luto re
55                          #likeaboss                              like abo ss                                likeaboss
56                            #ffshoes                                 ff shoes                                 ffs hoes
